Satellite,Day (human),Day (ordinal),Start Time (UTC),Band(s),Main Artifact,2nd Artifact,Comments,Lat/Lon,Line/Element,16-panel Imagery Link,Level-1b Path
GOES-17,12/14/2019,2019348,07:10:34,11,Sharkfin,,FD,"24S,165W","3955,1398",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20191214/fd/16panel/medium/16panel_2019348_071034_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2019/2019_12_14_348/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2019348071034*.nc
GOES-17,12/14/2019,2019348,08:20:33,15,Sharkfin,,FD,"28N,165W","1285,1446",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20191214/fd/16panel/medium/16panel_2019348_082033_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2019/2019_12_14_348/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2019348082033*.nc
GOES-17,12/15/2019,2019349,16:50:34,"6,7,10,11",Sharkfin,,FD,"48S,165W","4897,1788",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20191215/fd/16panel/medium/16panel_2019349_165034_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2019/2019_12_15_349/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2019349165034*.nc
GOES-17,12/15/2019,2019349,18:50:34,1,Sharkfin,,FD,"35S,180W","4399,1062",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20191215/fd/16panel/medium/16panel_2019349_185034_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2019/2019_12_15_349/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2019349185034*.nc
GOES-17,12/16/2019,2019350,04:30:34,6,Sharkfin,,FD,"15S,170W","3505,1098",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20191216/fd/16panel/medium/16panel_2019350_043034_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2019/2019_12_16_350/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2019350043034*.nc
GOES-17,12/16/2019,2019350,10:00:34,16,Sharkfin,,FD,"29N,155W","1225,1878",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20191216/fd/16panel/medium/16panel_2019350_100034_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2019/2019_12_16_350/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2019350100034*.nc
GOES-17,12/16/2019,2019350,13:00:34,16,Sharkfin,,FD,"25S,170W","3991,121",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20191216/fd/16panel/medium/16panel_2019350_130034_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2019/2019_12_16_350/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2019350130034*.nc
GOES-17,12/16/2019,2019350,15:30:34,10,Sharkfin,,FD,"15S,180W","3487,732",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20191216/fd/16panel/medium/16panel_2019350_153034_WESTB_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2019/2019_12_16_350/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2019350153034*.nc
GOES-17,12/16/2019,2019350,18:00:34,16,Sharkfin?,,FD,"14S,165W","3457,1302",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20191216/fd/16panel/medium/16panel_2019350_180034_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2019/2019_12_16_350/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2019350180034*.nc
GOES-17,12/21/2019,2019355,03:20:32,11,Sharkfin,,FD,"33S,163W","4357,1596",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20191221/fd/16panel/medium/16panel_2019355_032032_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2019/2019_12_21_355/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2019355032032*.nc
GOES-17,12/22/2019,2019356,08:30:32,14,Sharkfin,,FD,"48S,150W","4921,2262",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20191222/fd/16panel/medium/16panel_2019356_083032_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2019/2019_12_22_356/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2019356083032*.nc
GOES-16,12/23/2019,2019357,16:00:22,11,Sharkfin,,FD,"23S,90W","3925,1968",http://data.ssec.wisc.edu/abi/imagery/GOES-16/20191223/fd/16panel/medium/16panel_2019357_160022_EASTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2019/2019_12_23_357/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2019357160022*.nc
GOES-17,12/23/2019,2019357,22:50:33,"11,12",Sharkfin,,FD,"22S,165W","3859,1374",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20191223/fd/16panel/medium/16panel_2019357_225033_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2019/2019_12_23_357/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2019357225033*.nc
GOES-17,12/24/2019,2019358,04:00:33,"11,12",Sharkfin,,FD,"29N,168W","1249,1344",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20191224/fd/16panel/medium/16panel_2019358_040033_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2019/2019_12_24_358/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2019358040033*.nc
GOES-16,12/25/2019,2019359,17:20:22,15,Sharkfin,,FD,"23S,95W","3919,1734",http://data.ssec.wisc.edu/abi/imagery/GOES-16/20191225/fd/16panel/medium/16panel_2019359_172022_EASTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2019/2019_12_25_359/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2019359172022*.nc
GOES-16,12/26/2019,2019360,11:50:22,13,Sharkfin,,FD,"8N,105W","2281,1182",http://data.ssec.wisc.edu/abi/imagery/GOES-16/20191226/fd/16panel/medium/16panel_2019360_115022_EASTB_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2019/2019_12_26_360/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2019360115022*.nc
GOES-16,12/26/2019,2019360,12:00:22,14,Sharkfin,,FD,"17N,100W","1813,1458",http://data.ssec.wisc.edu/abi/imagery/GOES-16/20191226/fd/16panel/medium/16panel_2019360_120022_EASTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2019/2019_12_26_360/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2019360120022*.nc
GOES-16,12/26/2019,2019360,18:30:21,"6,12",Sharkfin,,FD,"40N,90W","775,2112",http://data.ssec.wisc.edu/abi/imagery/GOES-16/20191226/fd/16panel/medium/16panel_2019360_183021_EASTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2019/2019_12_26_360/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2019360183021*.nc
GOES-17,12/26/2019,2019360,09:50:34,"7,16",Sharkfin,,FD,"29N,155W","1225,1878",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20191226/fd/16panel/medium/16panel_2019360_095034_WESTB_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2019/2019_12_26_360/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2019360095034*.nc
GOES-16,12/27/2019,2019361,22:30:21,8,Sharkfin,,FD,"14S,110W","3451,1008",http://data.ssec.wisc.edu/abi/imagery/GOES-16/20191227/fd/16panel/medium/16panel_2019361_223021_EASTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2019/2019_12_27_361/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2019361223021*.nc
GOES-16,12/28/2019,2019362,13:10:22,7,Sharkfin,,FD,"13S,105W","3403,1206",http://data.ssec.wisc.edu/abi/imagery/GOES-16/20191228/fd/16panel/medium/16panel_2019362_131022_EASTB_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2019/2019_12_28_362/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2019362131022*.nc
GOES-17,12/28/2019,2019362,06:40:34,13,Sharkfin,,FD,"28N,160W","1279,1656",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20191228/fd/16panel/medium/16panel_2019362_064034_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2019/2019_12_28_362/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2019362064034*.nc
GOES-16,12/30/2019,2019364,21:20:21,8,Sharkfin,,FD,"23S,100W","3913,1512",http://data.ssec.wisc.edu/abi/imagery/GOES-16/20191230/fd/16panel/medium/16panel_2019364_212021_EASTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2019/2019_12_30_364/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2019364212021*.nc
GOES-16,01/05/2020,2020005,06:00:21,"11,12",Sharkfin,,FD,"32S,100W","4321,1620",http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200105/fd/16panel/medium/16panel_2020005_060021_EASTB_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_01_05_005/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020005060021*.nc
